3,Callery, Gilbertine,gcallery2@geocities.jp,234.233.225.252
7,Segge, Tarra,tsegge6@hubpages.com,198.14.220.54
11,Fruish, Simonette,sfruisha@usatoday.com,162.60.69.210
13,Milham, Kathi,kmilhamc@blogs.com,120.222.72.3
19,Reskelly, Timoteo,treskellyi@goodreads.com,33.154.155.19
21,Stuttman, Corrianne,cstuttmank@cisco.com,180.45.90.177
25,Neilson, Nedi,nneilsono@webs.com,15.145.5.113
31,O'Ruane, Domeniga,doruaneu@hibu.com,199.195.96.14
39,Hamal, Elinor,ehamal12@cyberchimps.com,197.213.198.183
41,D'Ambrosio, Alexine,adambrosio14@techcrunch.com,170.57.43.229
47,Charte, Veronique,vcharte1a@mac.com,87.228.18.101
53,Brauner, Melli,mbrauner1g@mediafire.com,74.82.243.191
59,Ortler, Verla,vortler1m@narod.ru,83.2.116.25
69,Gerring, Cathleen,cgerring1w@cmu.edu,79.112.116.77
71,Halsworth, Brenda,bhalsworth1y@dagondesign.com,198.88.210.155
73,Minor, Alexandra,aminor20@naver.com,0.174.248.23
75,Kaas, Shoshanna,skaas22@twitter.com,82.197.8.59
77,Kibbey, Meridith,mkibbey24@xinhuanet.com,81.101.194.119
83,Hilldrup, Emmalee,ehilldrup2a@facebook.com,165.145.248.249
89,Roberto, Karole,kroberto2g@sfgate.com,128.252.213.94
93,Queen, Florance,fqueen2k@gmpg.org,7.115.229.88
